condition,color,pretraining,dimensionality,repeat,outer_fold,selected_model,inner_macro_f1,train_instances,test_originals,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
rgb+random+full512,rgb,random,full512,2,4,SVM (RBF),0.7970681522446323,400,40,0.8,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.5238095238095238,0.6666666666666666,0.8571428571428571
rgb+random+full512,rgb,random,full512,2,5,SVM (RBF),0.8134432374055015,400,40,0.825,0.8105413105413106,0.7994505494505495,0.8105413105413106,0.8043326345213138,0.6098910265570043,0.7692307692307693,0.8518518518518519
rgb+random+full512,rgb,random,full512,3,1,Random Forest,0.7757341732341733,400,41,0.8292682926829268,0.771978021978022,0.8193548387096774,0.771978021978022,0.7885040530582166,0.5894319208911859,0.6153846153846154,0.9285714285714286
rgb+random+full512,rgb,random,full512,3,2,Logistic Regression,0.7729700854700854,400,40,0.85,0.849002849002849,0.8266666666666667,0.849002849002849,0.8351648351648351,0.6753002216523571,0.8461538461538461,0.8518518518518519
rgb+random+full512,rgb,random,full512,3,3,SVM (RBF),0.811481461796107,400,40,0.825,0.8105413105413106,0.7994505494505495,0.8105413105413106,0.8043326345213138,0.6098910265570043,0.7692307692307693,0.8518518518518519
rgb+random+full512,rgb,random,full512,3,4,Logistic Regression,0.7881629163442475,400,40,0.875,0.8392857142857143,0.8573667711598747,0.8392857142857143,0.84744469870328,0.696417806248397,0.75,0.9285714285714286
rgb+random+full512,rgb,random,full512,3,5,SVM (RBF),0.7913029696333209,400,40,0.825,0.7905982905982906,0.8035714285714286,0.7905982905982906,0.7963636363636364,0.5940280741424203,0.6923076923076923,0.8888888888888888
rgb+random+full512,rgb,random,full512,4,1,SVM (RBF),0.8240069766013163,400,40,0.725,0.6367521367521367,0.6875,0.6367521367521367,0.6448748991121873,0.3202563076101743,0.38461538461538464,0.8888888888888888
rgb+random+full512,rgb,random,full512,4,2,Logistic Regression,0.7907389821132215,400,40,0.925,0.9226190476190477,0.9045584045584045,0.9226190476190477,0.9127272727272727,0.8269802600806244,0.9166666666666666,0.9285714285714286
rgb+random+full512,rgb,random,full512,4,3,Logistic Regression,0.7798099119569192,400,41,0.8048780487804879,0.8365384615384616,0.7930622009569378,0.8365384615384616,0.7949999999999999,0.6280977702400266,0.9230769230769231,0.75
rgb+random+full512,rgb,random,full512,4,4,Logistic Regression,0.815226393976394,400,40,0.9,0.8660968660968661,0.9028213166144201,0.8660968660968661,0.8809523809523809,0.7680406801974818,0.7692307692307693,0.9629629629629629
rgb+random+full512,rgb,random,full512,4,5,SVM (RBF),0.8216619280379853,400,40,0.85,0.809116809116809,0.8401253918495297,0.809116809116809,0.8214285714285714,0.6485012747192745,0.6923076923076923,0.9259259259259259
rgb+random+full512,rgb,random,full512,5,1,Logistic Regression,0.8388003191185155,400,41,0.7804878048780488,0.7362637362637363,0.7471264367816092,0.7362637362637363,0.7410526315789474,0.4832681048178826,0.6153846153846154,0.8571428571428571
rgb+random+full512,rgb,random,full512,5,2,Random Forest,0.7551621834542552,400,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
rgb+random+full512,rgb,random,full512,5,3,Logistic Regression,0.830997019920247,400,40,0.9,0.8660968660968661,0.9028213166144201,0.8660968660968661,0.8809523809523809,0.7680406801974818,0.7692307692307693,0.9629629629629629
rgb+random+full512,rgb,random,full512,5,4,SVM (RBF),0.8224821386206795,400,40,0.85,0.7976190476190477,0.8333333333333334,0.7976190476190477,0.8119122257053292,0.629940788348712,0.6666666666666666,0.9285714285714286
rgb+random+full512,rgb,random,full512,5,5,SVM (RBF),0.8400465705076905,400,40,0.85,0.829059829059829,0.829059829059829,0.829059829059829,0.829059829059829,0.6581196581196581,0.7692307692307693,0.8888888888888888
rgb+random+pca6,rgb,random,pca6,1,1,Logistic Regression,0.8044861635294729,400,40,0.7,0.698005698005698,0.6777493606138107,0.698005698005698,0.6799999999999999,0.375208668441464,0.6923076923076923,0.7037037037037037
rgb+random+pca6,rgb,random,pca6,1,2,Logistic Regression,0.8010303610905588,400,40,0.8,0.7720797720797721,0.7720797720797721,0.7720797720797721,0.7720797720797721,0.5441595441595442,0.6923076923076923,0.8518518518518519
rgb+random+pca6,rgb,random,pca6,1,3,Logistic Regression,0.7660279028020963,400,41,0.8292682926829268,0.8337912087912087,0.80375,0.8337912087912087,0.8132726089785296,0.6368330383085654,0.8461538461538461,0.8214285714285714
rgb+random+pca6,rgb,random,pca6,1,4,Random Forest,0.7841716509769248,400,40,0.775,0.6964285714285714,0.7365591397849462,0.6964285714285714,0.7094430992736077,0.4311239909182913,0.5,0.8928571428571429
rgb+random+pca6,rgb,random,pca6,1,5,Logistic Regression,0.8230130566826352,400,40,0.825,0.8105413105413106,0.7994505494505495,0.8105413105413106,0.8043326345213138,0.6098910265570043,0.7692307692307693,0.8518518518518519
rgb+random+pca6,rgb,random,pca6,2,1,Logistic Regression,0.7965103519980252,400,40,0.9,0.905982905982906,0.88,0.905982905982906,0.8901098901098901,0.7855533190649869,0.9230769230769231,0.8888888888888888
rgb+random+pca6,rgb,random,pca6,2,2,Logistic Regression,0.7980105127505576,400,40,0.875,0.8475783475783476,0.8630952380952381,0.8475783475783476,0.8545454545454545,0.7105041671115223,0.7692307692307693,0.9259259259259259
rgb+random+pca6,rgb,random,pca6,2,3,Logistic Regression,0.8561988151610793,400,41,0.7317073170731707,0.7211538461538461,0.7012499999999999,0.7211538461538461,0.7065712426805466,0.42193464678057213,0.6923076923076923,0.75
rgb+random+pca6,rgb,random,pca6,2,4,Logistic Regression,0.8071358543417366,400,40,0.8,0.7857142857142857,0.7637362637362637,0.7857142857142857,0.7720797720797721,0.549010813046013,0.75,0.8214285714285714
rgb+random+pca6,rgb,random,pca6,2,5,Random Forest,0.8136644096802098,400,40,0.7,0.6780626780626781,0.6666666666666667,0.6780626780626781,0.6703296703296704,0.34454092941446796,0.6153846153846154,0.7407407407407407
rgb+random+pca6,rgb,random,pca6,3,1,Logistic Regression,0.7818675746160534,400,41,0.8292682926829268,0.8131868131868132,0.8015873015873016,0.8131868131868132,0.8067340067340067,0.6146646756784948,0.7692307692307693,0.8571428571428571
rgb+random+pca6,rgb,random,pca6,3,2,Logistic Regression,0.7729840041160796,400,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
rgb+random+pca6,rgb,random,pca6,3,3,Logistic Regression,0.8115698766642162,400,40,0.775,0.7735042735042735,0.75,0.7735042735042735,0.7565922920892495,0.5229763603684907,0.7692307692307693,0.7777777777777778
rgb+random+pca6,rgb,random,pca6,3,4,Logistic Regression,0.7827095978123123,400,40,0.825,0.8273809523809523,0.7933333333333333,0.8273809523809523,0.8043326345213138,0.6197797868009122,0.8333333333333334,0.8214285714285714
rgb+random+pca6,rgb,random,pca6,3,5,Logistic Regression,0.8192423722377639,400,40,0.8,0.7521367521367521,0.7774294670846396,0.7521367521367521,0.7619047619047619,0.5289618692410673,0.6153846153846154,0.8888888888888888
rgb+random+pca6,rgb,random,pca6,4,1,Logistic Regression,0.8001750759223298,400,40,0.775,0.7136752136752136,0.75,0.7136752136752136,0.7254004576659039,0.46225016352102427,0.5384615384615384,0.8888888888888888
rgb+random+pca6,rgb,random,pca6,4,2,Logistic Regression,0.7715151865279742,400,40,0.925,0.9226190476190477,0.9045584045584045,0.9226190476190477,0.9127272727272727,0.8269802600806244,0.9166666666666666,0.9285714285714286
rgb+random+pca6,rgb,random,pca6,4,3,Logistic Regression,0.7915712990712991,400,41,0.8292682926829268,0.875,0.825,0.875,0.8225108225108224,0.698212002188447,1.0,0.75
rgb+random+pca6,rgb,random,pca6,4,4,Logistic Regression,0.7822380609839767,400,40,0.775,0.7735042735042735,0.75,0.7735042735042735,0.7565922920892495,0.5229763603684907,0.7692307692307693,0.7777777777777778
rgb+random+pca6,rgb,random,pca6,4,5,SVM (RBF),0.8066228271973215,400,40,0.725,0.6766381766381766,0.6845238095238095,0.6766381766381766,0.68,0.36107588820421627,0.5384615384615384,0.8148148148148148
rgb+random+pca6,rgb,random,pca6,5,1,Logistic Regression,0.823646739780684,400,41,0.7073170731707317,0.6620879120879121,0.6620879120879121,0.6620879120879121,0.6620879120879121,0.3241758241758242,0.5384615384615384,0.7857142857142857
rgb+random+pca6,rgb,random,pca6,5,2,Random Forest,0.760193330681106,400,40,0.875,0.8475783475783476,0.8630952380952381,0.8475783475783476,0.8545454545454545,0.7105041671115223,0.7692307692307693,0.9259259259259259
rgb+random+pca6,rgb,random,pca6,5,3,Logistic Regression,0.7856315417636173,400,40,0.875,0.8675213675213675,0.8543956043956045,0.8675213675213675,0.8602375960866526,0.7217976369344363,0.8461538461538461,0.8888888888888888
rgb+random+pca6,rgb,random,pca6,5,4,SVM (RBF),0.8023795672337523,400,40,0.85,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.6428571428571429,0.75,0.8928571428571429
rgb+random+pca6,rgb,random,pca6,5,5,SVM (RBF),0.8041772738755497,400,40,0.85,0.829059829059829,0.829059829059829,0.829059829059829,0.829059829059829,0.6581196581196581,0.7692307692307693,0.8888888888888888
gray+pretrained+full512,gray,pretrained,full512,1,1,SVM (RBF),0.9504421809846338,400,40,0.975,0.9814814814814814,0.9642857142857143,0.9814814814814814,0.9720475192173306,0.9456108576893004,1.0,0.9629629629629629
gray+pretrained+full512,gray,pretrained,full512,1,2,Logistic Regression,0.9711391004944824,400,40,0.875,0.8675213675213675,0.8543956043956045,0.8675213675213675,0.8602375960866526,0.7217976369344363,0.8461538461538461,0.8888888888888888
gray+pretrained+full512,gray,pretrained,full512,1,3,Logistic Regression,0.9493854178304406,400,41,0.975609756097561,0.9615384615384616,0.9827586206896552,0.9615384615384616,0.9712280701754386,0.9440586233651661,0.9230769230769231,1.0
gray+pretrained+full512,gray,pretrained,full512,1,4,Random Forest,0.9438242206418849,400,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gray+pretrained+full512,gray,pretrained,full512,1,5,Random Forest,0.9361748890522477,400,40,0.975,0.9615384615384616,0.9821428571428572,0.9615384615384616,0.9709090909090909,0.9434563530497264,0.9230769230769231,1.0
gray+pretrained+full512,gray,pretrained,full512,2,1,Logistic Regression,0.9274037013713234,400,40,0.95,0.9230769230769231,0.9655172413793103,0.9230769230769231,0.9404761904761905,0.8875800856756891,0.8461538461538461,1.0
