repeat,outer_fold,inner_fold,phase,kelas,is_augmented,instances
5,1,1,inner_selection,non_batik,False,38
5,1,1,inner_selection,non_batik,True,162
5,1,2,inner_selection,batik,False,82
5,1,2,inner_selection,batik,True,118
5,1,2,inner_selection,non_batik,False,38
5,1,2,inner_selection,non_batik,True,162
5,1,3,inner_selection,batik,False,81
5,1,3,inner_selection,batik,True,119
5,1,3,inner_selection,non_batik,False,39
5,1,3,inner_selection,non_batik,True,161
5,1,4,inner_selection,batik,False,82
5,1,4,inner_selection,batik,True,118
5,1,4,inner_selection,non_batik,False,38
5,1,4,inner_selection,non_batik,True,162
5,1,all,outer_fit,batik,False,109
5,1,all,outer_fit,batik,True,91
5,1,all,outer_fit,non_batik,False,51
5,1,all,outer_fit,non_batik,True,149
5,2,1,inner_selection,batik,False,83
5,2,1,inner_selection,batik,True,117
5,2,1,inner_selection,non_batik,False,38
5,2,1,inner_selection,non_batik,True,162
5,2,2,inner_selection,batik,False,82
5,2,2,inner_selection,batik,True,118
5,2,2,inner_selection,non_batik,False,38
5,2,2,inner_selection,non_batik,True,162
5,2,3,inner_selection,batik,False,82
5,2,3,inner_selection,batik,True,118
5,2,3,inner_selection,non_batik,False,39
5,2,3,inner_selection,non_batik,True,161
5,2,4,inner_selection,batik,False,83
5,2,4,inner_selection,batik,True,117
5,2,4,inner_selection,non_batik,False,38
5,2,4,inner_selection,non_batik,True,162
5,2,all,outer_fit,batik,False,110
5,2,all,outer_fit,batik,True,90
5,2,all,outer_fit,non_batik,False,51
5,2,all,outer_fit,non_batik,True,149
5,3,1,inner_selection,batik,False,82
5,3,1,inner_selection,batik,True,118
5,3,1,inner_selection,non_batik,False,38
5,3,1,inner_selection,non_batik,True,162
5,3,2,inner_selection,batik,False,83
5,3,2,inner_selection,batik,True,117
5,3,2,inner_selection,non_batik,False,38
5,3,2,inner_selection,non_batik,True,162
5,3,3,inner_selection,batik,False,82
5,3,3,inner_selection,batik,True,118
5,3,3,inner_selection,non_batik,False,39
5,3,3,inner_selection,non_batik,True,161
5,3,4,inner_selection,batik,False,83
5,3,4,inner_selection,batik,True,117
5,3,4,inner_selection,non_batik,False,38
5,3,4,inner_selection,non_batik,True,162
5,3,all,outer_fit,batik,False,110
5,3,all,outer_fit,batik,True,90
5,3,all,outer_fit,non_batik,False,51
5,3,all,outer_fit,non_batik,True,149
5,4,1,inner_selection,batik,False,81
5,4,1,inner_selection,batik,True,119
5,4,1,inner_selection,non_batik,False,39
5,4,1,inner_selection,non_batik,True,161
5,4,2,inner_selection,batik,False,82
5,4,2,inner_selection,batik,True,118
5,4,2,inner_selection,non_batik,False,39
5,4,2,inner_selection,non_batik,True,161
5,4,3,inner_selection,batik,False,82
5,4,3,inner_selection,batik,True,118
5,4,3,inner_selection,non_batik,False,39
5,4,3,inner_selection,non_batik,True,161
5,4,4,inner_selection,batik,False,82
5,4,4,inner_selection,batik,True,118
5,4,4,inner_selection,non_batik,False,39
5,4,4,inner_selection,non_batik,True,161
5,4,all,outer_fit,batik,False,109
5,4,all,outer_fit,batik,True,91
5,4,all,outer_fit,non_batik,False,52
5,4,all,outer_fit,non_batik,True,148
5,5,1,inner_selection,batik,False,82
5,5,1,inner_selection,batik,True,118
5,5,1,inner_selection,non_batik,False,38
5,5,1,inner_selection,non_batik,True,162
5,5,2,inner_selection,batik,False,83
5,5,2,inner_selection,batik,True,117
5,5,2,inner_selection,non_batik,False,38
5,5,2,inner_selection,non_batik,True,162
5,5,3,inner_selection,batik,False,82
