repeat,outer_fold,feature_set,model,inner_macro_f1_mean,inner_macro_f1_std,inner_fold_scores
3,2,Tekstur,Logistic Regression,0.7515977368111056,0.050787040109002694,"[0.774011299435, 0.696296296296, 0.725400457666, 0.810682893847]"
3,2,Tekstur,SVM (RBF),0.8447011954468753,0.05622577830852692,"[0.847444698703, 0.764367816092, 0.880952380952, 0.88603988604]"
3,2,Tekstur,Random Forest,0.8201218211172667,0.06732840077306776,"[0.811912225705, 0.751515151515, 0.804332634521, 0.912727272727]"
3,2,Frekuensi,Logistic Regression,0.4067136167558213,0.08502255641157935,"[0.494949494949, 0.460526315789, 0.357092941999, 0.314285714286]"
3,2,Frekuensi,SVM (RBF),0.5938754044229473,0.09764009511350995,"[0.552337063858, 0.487804878049, 0.619047619048, 0.716312056738]"
3,2,Frekuensi,Random Forest,0.6481103442519793,0.04989460017040686,"[0.641943734015, 0.641077441077, 0.594320486815, 0.7150997151]"
3,2,Gabungan 6 Fitur,Logistic Regression,0.8429478694057801,0.020129955115232554,"[0.854545454545, 0.831043956044, 0.821428571429, 0.864773495605]"
3,2,Gabungan 6 Fitur,SVM (RBF),0.9368108271881856,0.02591085175528013,"[0.970909090909, 0.917171717172, 0.94301994302, 0.916142557652]"
3,2,Gabungan 6 Fitur,Random Forest,0.9050885964615941,0.03607621359303554,"[0.912727272727, 0.856140350877, 0.908466819222, 0.94301994302]"
3,3,Edge/Morfologi,Logistic Regression,0.7677550200649806,0.0875247978518106,"[0.842307692308, 0.66473243069, 0.838579499596, 0.725400457666]"
3,3,Edge/Morfologi,SVM (RBF),0.7830773831850092,0.05414744514643407,"[0.831043956044, 0.748427672956, 0.827437446074, 0.725400457666]"
3,3,Edge/Morfologi,Random Forest,0.7887791668455284,0.07585401717907829,"[0.891534391534, 0.725400457666, 0.8, 0.738181818182]"
3,3,Tekstur,Logistic Regression,0.7540387834048261,0.09223061056008003,"[0.711943793911, 0.756592292089, 0.880952380952, 0.666666666667]"
3,3,Tekstur,SVM (RBF),0.8343823533714879,0.057754276774221944,"[0.84893146647, 0.864773495605, 0.87460815047, 0.74921630094]"
3,3,Tekstur,Random Forest,0.7941742546251624,0.04549494988995504,"[0.764367816092, 0.815668202765, 0.847444698703, 0.74921630094]"
