repeat,outer_fold,feature_set,model,inner_macro_f1_mean,inner_macro_f1_std,inner_fold_scores
1,5,Edge/Morfologi,SVM (RBF),0.7848709203876679,0.04465027580384144,"[0.84893146647, 0.761904761905, 0.748427672956, 0.78021978022]"
1,5,Edge/Morfologi,Random Forest,0.7791895604395604,0.03456959706959711,"[0.831043956044, 0.761904761905, 0.761904761905, 0.761904761905]"
1,5,Tekstur,Logistic Regression,0.6895734640939244,0.08007347563558044,"[0.662087912088, 0.590792838875, 0.77207977208, 0.733333333333]"
1,5,Tekstur,SVM (RBF),0.7890670988629676,0.10376938201383988,"[0.705459770115, 0.748427672956, 0.761904761905, 0.940476190476]"
1,5,Tekstur,Random Forest,0.7342970721117174,0.07982603926823777,"[0.662087912088, 0.725274725275, 0.702380952381, 0.847444698703]"
1,5,Frekuensi,Logistic Regression,0.5682846679549576,0.07458587122412581,"[0.50956937799, 0.641943734015, 0.498746867168, 0.622878692646]"
1,5,Frekuensi,SVM (RBF),0.6303639058961674,0.08085519859130419,"[0.599869876383, 0.710335747202, 0.53125, 0.68]"
1,5,Frekuensi,Random Forest,0.6289452885112483,0.026127205353676266,"[0.599869876383, 0.657669519421, 0.615384615385, 0.642857142857]"
1,5,Gabungan 6 Fitur,Logistic Regression,0.814965064149878,0.04524971754700843,"[0.75992192583, 0.864773495605, 0.835164835165, 0.8]"
1,5,Gabungan 6 Fitur,SVM (RBF),0.8801825811994489,0.027762811109457775,"[0.856140350877, 0.918864097363, 0.864773495605, 0.880952380952]"
1,5,Gabungan 6 Fitur,Random Forest,0.8862067375797352,0.021832453239867346,"[0.856140350877, 0.89010989011, 0.89010989011, 0.908466819222]"
2,1,Edge/Morfologi,Logistic Regression,0.7707301414740119,0.050356551505207514,"[0.806734006734, 0.810682893847, 0.763001974984, 0.702501690331]"
2,1,Edge/Morfologi,SVM (RBF),0.7815125820100383,0.03252870783656214,"[0.775956284153, 0.8, 0.811912225705, 0.738181818182]"
2,1,Edge/Morfologi,Random Forest,0.7768871879413961,0.035030447316142625,"[0.823275862069, 0.774011299435, 0.77207977208, 0.738181818182]"
2,1,Tekstur,Logistic Regression,0.7301127617431447,0.03877593165946238,"[0.751515151515, 0.77207977208, 0.710335747202, 0.686520376176]"
2,1,Tekstur,SVM (RBF),0.8035198053580407,0.0973156831396647,"[0.831043956044, 0.89010989011, 0.82905982906, 0.663865546218]"
2,1,Tekstur,Random Forest,0.7716471793550901,0.08128972667868586,"[0.783068783069, 0.864773495605, 0.77207977208, 0.666666666667]"
2,1,Frekuensi,Logistic Regression,0.43062807605485187,0.09035384359228825,"[0.338245614035, 0.377958079784, 0.466666666667, 0.539641943734]"
2,1,Frekuensi,SVM (RBF),0.6064841057230337,0.02126483625940344,"[0.584376863447, 0.60113960114, 0.605003291639, 0.635416666667]"
2,1,Frekuensi,Random Forest,0.6097715896550524,0.06332866929455241,"[0.598039215686, 0.524807826695, 0.65811965812, 0.65811965812]"
2,1,Gabungan 6 Fitur,Logistic Regression,0.8298619806252681,0.06601368044501779,"[0.788504053058, 0.84, 0.918864097363, 0.77207977208]"
2,1,Gabungan 6 Fitur,SVM (RBF),0.9360318228242757,0.058842857297410886,"[1.0, 0.972047519217, 0.88603988604, 0.88603988604]"
2,1,Gabungan 6 Fitur,Random Forest,0.8902563120332215,0.0564699253319834,"[0.972390572391, 0.880952380952, 0.860237596087, 0.847444698703]"
2,2,Edge/Morfologi,Logistic Regression,0.7296250864083119,0.084801098049063,"[0.756592292089, 0.795, 0.605003291639, 0.761904761905]"
2,2,Edge/Morfologi,SVM (RBF),0.7750624689184011,0.06584520599863,"[0.761904761905, 0.861952861953, 0.774011299435, 0.702380952381]"
2,2,Edge/Morfologi,Random Forest,0.7194398246358558,0.1038199917909958,"[0.756592292089, 0.84893146647, 0.648411088573, 0.623824451411]"
2,2,Tekstur,Logistic Regression,0.7147748678072391,0.06116235897933803,"[0.648411088573, 0.711943793911, 0.702380952381, 0.796363636364]"
2,2,Tekstur,SVM (RBF),0.8019553833263511,0.050314511607920116,"[0.796363636364, 0.735483870968, 0.821428571429, 0.854545454545]"
2,2,Tekstur,Random Forest,0.7454882617382618,0.10710083989329115,"[0.725274725275, 0.605769230769, 0.796363636364, 0.854545454545]"
