left,right,patch_corr
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (10).png,0.1203
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (2).png,0.1119
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (3).png,0.1061
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (4).png,0.1993
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (5).png,0.0999
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (6).png,0.1642
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (7).png,0.1124
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (8).png,0.1535
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga (9).png,0.1216
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga1.jpg,0.1705
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga2.jpg,0.1392
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/bunga_nonbatik/bunga3.webp,0.1481
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/garis/garis1 (1).jpg,0.0975
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/garis/garis1 (2).jpg,0.1765
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/garis/garis1 (3).jpg,0.2829
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/garis/garis1 (4).jpg,0.0756
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/garis/garis1 (5).jpg,0.0873
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (1).png,0.1615
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (10).png,0.1521
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (2).png,0.1235
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (3).png,0.1139
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (4).png,0.1307
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (5).png,0.0876
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (6).png,0.1552
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (7).png,0.0851
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (8).png,0.1541
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/geometris/geometris (9).png,0.1008
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/kotak/kotak2.jpg,0.1158
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/kotak/kotak3.png,0.1878
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/kotak/kotak4.jpg,0.1891
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/kotak/kotak5.jpg,0.2024
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (1).png,0.1837
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (10).png,0.1952
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (2).png,0.2251
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (3).png,0.3466
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (4).png,0.156
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (5).png,0.141
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (6).png,0.2733
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (7).png,0.2094
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (8).png,0.1568
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/modern/modern (9).png,0.2142
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polkadot/polkadot4.jpg,0.1727
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polkadot/polkadot5.jpg,0.1219
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (1).png,0.1332
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (10).png,0.151
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (2).png,0.1532
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (3).png,0.1635
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (4).png,0.1532
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (5).png,0.1568
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (6).png,0.1455
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (7).png,0.1494
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (8).png,0.1527
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/polos/polos (9).png,0.1538
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (1).png,0.1469
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (10).png,0.1623
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (2).png,0.2059
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (3).png,0.1518
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (4).png,0.1288
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (5).png,0.1267
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (6).png,0.1236
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (7).png,0.1188
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (8).png,0.1493
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/non_batik/tenun/tenun (9).png,0.1115
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_betawi (1).jpg,0.1336
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_betawi (2).jpg,0.1578
