left,right,patch_corr,align_score,dx,dy,overlap_w,overlap_h,residual_rgb
dataset_batik/non_batik/garis/garis1 (3).jpg,dataset_batik/non_batik/modern/modern (3).png,0.6652,0.5618395805358887,-44,64,212,192,71.82962036132812
dataset_batik/batik/Yogyakarta_Kawung/0020.jpg,dataset_batik/batik/Yogyakarta_Kawung/0021.jpg,0.661,0.5552510619163513,14,-41,242,215,72.04064178466797
dataset_batik/batik/Yogyakarta_Kawung/0037.jpg,dataset_batik/batik/Yogyakarta_Kawung/004.jpg,0.6968,0.5584427118301392,-37,37,219,219,72.28594970703125
dataset_batik/non_batik/polos/polos (5).png,uji_eksternal/non_batik/polos5.jpg,0.695,0.3316127359867096,11,12,245,244,72.72618103027344
dataset_batik/non_batik/modern/modern (2).png,uji_eksternal/batik/batik_kalimantan_dayak (4).jpg,0.6083,0.4060593545436859,-11,-38,245,218,72.90763092041016
dataset_batik/batik/Solo_Parang/0037.jpg,uji_eksternal/batik/batik_parang.jpg,0.7717,0.6568155288696289,-37,1,219,255,73.1596908569336
dataset_batik/batik/Yogyakarta_Kawung/0037.jpg,dataset_batik/batik/Yogyakarta_Kawung/009.jpg,0.688,0.6287609338760376,58,-3,198,253,74.14035034179688
dataset_batik/non_batik/garis/garis1 (3).jpg,uji_eksternal/non_batik/polos4.webp,0.81,-0.1380939930677414,-64,-64,192,192,74.39044952392578
dataset_batik/batik/Yogyakarta_Kawung/0016.jpg,dataset_batik/batik/Yogyakarta_Kawung/0021.jpg,0.6526,0.5686931014060974,-57,-25,199,231,74.49179077148438
dataset_batik/non_batik/polos/polos (10).png,uji_eksternal/non_batik/polos4.webp,0.747,0.40280479192733765,44,-29,212,227,74.49227905273438
dataset_batik/non_batik/modern/modern (6).png,uji_eksternal/non_batik/polos4.webp,0.7425,0.29273563623428345,47,-63,209,193,76.53199768066406
dataset_batik/batik/Yogyakarta_Kawung/0031.jpg,uji_eksternal/batik/batik_kawung (2).jpg,0.6682,0.5978097915649414,31,-54,225,202,77.12615966796875
dataset_batik/batik/Yogyakarta_Kawung/0027.jpg,dataset_batik/batik/Yogyakarta_Kawung/0035.jpg,0.6753,0.5724959969520569,-26,-49,230,207,77.43157958984375
dataset_batik/batik/Yogyakarta_Parang/0010.jpg,dataset_batik/batik/Yogyakarta_Parang/0038.jpg,0.6508,0.5932872295379639,-58,2,198,254,77.57063293457031
dataset_batik/batik/Yogyakarta_Kawung/0015.jpg,dataset_batik/batik/Yogyakarta_Kawung/0031.jpg,0.6344,0.46972304582595825,-44,-63,212,193,77.75430297851562
dataset_batik/batik/Yogyakarta_Kawung/0022.jpg,dataset_batik/batik/Yogyakarta_Kawung/0035.jpg,0.6368,0.5071892142295837,-27,-48,229,208,77.78218841552734
dataset_batik/batik/Yogyakarta_Kawung/0020.jpg,dataset_batik/batik/Yogyakarta_Kawung/0037.jpg,0.6303,0.438762366771698,-13,-55,243,201,77.90423583984375
dataset_batik/batik/Yogyakarta_Kawung/0021.jpg,dataset_batik/batik/Yogyakarta_Kawung/0031.jpg,0.6786,0.6114101409912109,5,1,251,255,77.93009185791016
dataset_batik/batik/Solo_Parang/0011.jpg,dataset_batik/batik/Solo_Parang/004.jpg,0.6235,0.40305712819099426,-47,-43,209,213,78.21430206298828
dataset_batik/batik/Solo_Parang/004.jpg,uji_eksternal/non_batik/polos4.webp,0.6045,0.16370217502117157,6,-61,250,195,78.889892578125
dataset_batik/batik/Yogyakarta_Kawung/0015.jpg,dataset_batik/batik/Yogyakarta_Kawung/0016.jpg,0.6134,0.429077684879303,11,-41,245,215,78.9328842163086
dataset_batik/non_batik/garis/garis1 (3).jpg,uji_eksternal/non_batik/kain_tenun_ikat (3).jpg,0.7704,0.5310218930244446,-28,64,228,192,79.18533325195312
dataset_batik/batik/Yogyakarta_Kawung/0015.jpg,dataset_batik/batik/Yogyakarta_Kawung/0020.jpg,0.6232,0.3977839946746826,20,-2,236,254,80.00499725341797
dataset_batik/non_batik/modern/modern (2).png,uji_eksternal/non_batik/polos4.webp,0.6979,0.5020567178726196,-36,-42,220,214,80.22308349609375
dataset_batik/batik/Yogyakarta_Kawung/0016.jpg,uji_eksternal/batik/batik_kawung (2).jpg,0.604,0.49564221501350403,-45,-52,211,204,82.79501342773438
uji_eksternal/non_batik/flanel_kotak (3).jpg,uji_eksternal/non_batik/polos5.jpg,0.6643,0.11293667554855347,-64,-61,192,195,83.83440399169922
dataset_batik/non_batik/polos/polos (1).png,uji_eksternal/non_batik/polos5.jpg,0.7083,0.31850674748420715,-64,-64,192,192,84.73381805419922
dataset_batik/non_batik/garis/garis1 (3).jpg,uji_eksternal/batik/batik_betawi (5).jpg,0.638,0.5217153429985046,24,64,232,192,86.08946228027344
dataset_batik/batik/SumateraBarat_Rumah_Minang/0021.jpg,dataset_batik/non_batik/garis/garis1 (3).jpg,0.6439,0.11862035095691681,-31,-11,225,245,87.5393295288086
dataset_batik/non_batik/garis/garis1 (3).jpg,uji_eksternal/batik/batik_betawi (4).jpg,0.7126,0.5806244611740112,-46,64,210,192,87.79938507080078
dataset_batik/batik/Batik Sekar Jagad/37.jpg,dataset_batik/non_batik/garis/garis1 (3).jpg,0.6561,0.220480278134346,-62,0,194,256,88.16275024414062
dataset_batik/batik/batik semarangan/semarangan2.jpg,dataset_batik/non_batik/garis/garis1 (3).jpg,0.6795,0.2646610140800476,-23,16,233,240,89.40576171875
uji_eksternal/batik/batik_sogan (5).jpg,uji_eksternal/non_batik/polos4.webp,0.6244,0.35702234506607056,-2,-52,254,204,90.63687896728516
dataset_batik/non_batik/modern/modern (2).png,dataset_batik/non_batik/polos/polos (1).png,0.6378,0.3854821026325226,-64,63,192,193,91.17810821533203
uji_eksternal/batik/batik_betawi (4).jpg,uji_eksternal/non_batik/polos4.webp,0.7051,0.1714036464691162,36,59,220,197,91.87971496582031
uji_eksternal/non_batik/polos3.webp,uji_eksternal/non_batik/polos5.jpg,0.6806,0.5949567556381226,-4,64,252,192,94.14183044433594
dataset_batik/batik/batik semarangan/semarangan4.jpg,dataset_batik/non_batik/garis/garis1 (3).jpg,0.6122,0.5078543424606323,-18,-2,238,254,97.19869995117188
dataset_batik/non_batik/garis/garis1 (3).jpg,uji_eksternal/batik/batik_megamendung (5).jpg,0.7776,0.7409160137176514,50,-17,206,239,97.62406921386719
uji_eksternal/non_batik/kain_kotak (1).png,uji_eksternal/non_batik/kain_salur (4).jpg,0.6485,0.4228370487689972,-64,64,192,192,97.86832427978516
dataset_batik/non_batik/garis/garis1 (3).jpg,uji_eksternal/non_batik/flanel_kotak (1).jpg,0.6391,0.47785109281539917,17,64,239,192,103.91172790527344
uji_eksternal/non_batik/flanel_kotak (1).jpg,uji_eksternal/non_batik/polos5.jpg,0.7438,0.07795939594507217,32,2,224,254,104.72065734863281
dataset_batik/non_batik/geometris/geometris (1).png,dataset_batik/non_batik/geometris/geometris (8).png,0.7295,0.6239386796951294,-34,-25,222,231,115.6098403930664
dataset_batik/non_batik/garis/garis1 (3).jpg,uji_eksternal/non_batik/flanel_kotak (2).jpg,0.8035,0.6278015971183777,-30,64,226,192,115.92086791992188
uji_eksternal/non_batik/flanel_kotak (1).jpg,uji_eksternal/non_batik/polos4.webp,0.7097,0.16177618503570557,-16,-63,240,193,120.8216781616211
dataset_batik/non_batik/geometris/geometris (8).png,uji_eksternal/non_batik/kain_kotak (1).png,0.6833,0.6242115497589111,1,-12,255,244,121.91175079345703
uji_eksternal/non_batik/flanel_kotak (2).jpg,uji_eksternal/non_batik/polos4.webp,0.8017,0.0464090071618557,52,22,204,234,126.12094116210938
dataset_batik/non_batik/polos/polos (6).png,uji_eksternal/non_batik/polos4.webp,0.6302,0.2624492645263672,62,-63,194,193,153.0494842529297
